Authors,Year,Title,Otherbibinfo,DOIorURI,WhatReviewed,Type,Discipline,ExDef,ImDef,OpenIdentities,OpenReports,OpenInteraction,OpenParticipation,OpeninTime,OpenPlatforms
"Bekkering, Geertruida E.; Kleijnen, Jos",2008,Procedures and methods of benefit assessments for medicines in Germany,EUROPEAN JOURNAL OF HEALTH ECONOMICSÿÿVolume:ÿ9ÿÿÿSupplement:ÿ1ÿÿÿPages:ÿS5-S29,10.1007/s10198-008-0122-5,Medicines,Article,STEM,"""implement open peer review by publishing both the comments of the reviewers and their names""",,1,1,0,0,0,0
"Baggs, Judith Gedney; Broome, Marion E.; Dougherty, Molly C.; et al.",2008,Blinding in peer review: the preferences of reviewers for nursing journals,JOURNAL OF ADVANCED NURSINGÿÿVolume:ÿ64ÿÿÿIssue:ÿ2ÿÿÿPages:ÿ131-138,10.1111/j.1365-2648.2008.04816.x,Journal articles,Article,STEM,,"""Double-blinding was the method preferred by 93.6% of reviewers, although some identified some advantages to an unblinded open review process."", ""Reviewers were asked, ?Which of the following are advantages of making reviews open to the public??. They could mark any or all of five possible advantages, which many did (Table 1). For the 87 responses to ?Other?, content analysis demonstrated that by far the most frequently discussed advantage (n = 51; 58’6%) related to use of open review as an educational opportunity, for novice researchers, authors, reviewers, or students, or as a learning tool even for those with more experience. As one respondent put it, ?Writing reviews requires knowledge and skill ? all reviewers and prospective reviewers can learn about this skill by reading a variety of them?.""",1,1,0,0,0,0
"Stefanou, Spiro E.; Kerstens, Kristiaan",2008,Applied production analysis unveiled inÿopen peer review: introductory remarks,JOURNAL OF PRODUCTIVITY ANALYSISÿÿVolume:ÿ30ÿÿÿIssue:ÿ1ÿÿÿPages:ÿ1-+,10.1007/s11123-008-0091-9,Not specified,Article,STEM,"?a process of open peer review, a variation on the widespread use of single- and double-blind refereeing processes in most economic journals where the identity of both authors and referees is common knowledge throughout the refereeing process.... The availability of the referee reports is the essence of the open peer reviewing process with the clear separation between initial manuscripts and the replies to the referees shedding light on the context of discovery.?",,1,1,0,0,0,0
"Aguilar-Ruiz, Jesus S.; Moore, Jason H.; Ritchie, Marylyn D.",2008,Filling the gap between biology and computer science,BIODATA MININGÿÿVolume:ÿ1ÿÿÿÿÿArticle Number:ÿUNSP 1,10.1186/1756-0381-1-1,Journal articles,Article,STEM,"""In order to make the peer review process transparent Bio-Data Mining has adopted an open-review policy. Reviewers' names are included on the peer review reports and are made publically available upon acceptance of an article. We believe that this will foster constructive reviews, and therefore enrich the criticism. This policy will contribute greatly in driving young researchers to improve the quality of their articles.""",,1,1,0,0,0,0
"Menz, Hylton B.; Potter, Mike J.; Borthwick, Alan M.; et al.",2008,Welcome to Journal of Foot and Ankle Research: a new open access journal for foot health professionals,JOURNAL OF FOOT AND ANKLE RESEARCHÿÿVolume:ÿ1ÿÿÿÿÿArticle Number:ÿ1,10.1186/1757-1146-1-1,Not specified,Article,STEM,"As BMC standard ""JFAR operates a fully open peer review system, meaning that the identity of the authors is known to the reviewers, and vice versa. There is no evidence that such a system produces better quality reviews or changes reviewers' recommendations compared to traditional ""closed"" peer review [24]. However, open peer review is a far more transparent system, potentially fosters greater accountability on the part of reviewers, and may also prevent potentially serious abuses of the system (such as reviewers stealing authors' ideas or intentionally slowing the progress of a competitor's manuscript) [21]. All correspondence pertaining to the peer review process, including peer reviewers' comments, authors' replies and revisions of the manuscript will be freely accessible from the 'prepublication history' section""",,1,1,0,0,0,0
"Dougherty, Molly (Mickey) C.",2007,Open peer reviewÿ3 years later,NURSING RESEARCHÿÿVolume:ÿ56ÿÿÿIssue:ÿ5ÿÿÿPages:ÿ295-295ÿ,10.1097/01.NNR.0000289496.14790.bb,Not specified,Article,STEM,,"OPR in Nursing Research journal - OpenID, OpenReports",1,1,0,0,0,0
"Liu, S. V.",2007,"Why are people reluctant to join inÿopen review? (vol 447, pg 1052, 2007)",NATUREÿÿVolume:ÿ448ÿÿÿIssue:ÿ7152ÿÿÿPages:ÿ408-408,10.1038/448408e,Journal articles,Letter,STEM,,"OPR as in 2006 Nature experiment (""between 1 June and 30 September 2006, we invited authors of newly submitted papers that survived the initial editorial assessment to have them hosted on an open server on the Internet for public comment. For those who agreed, we simultaneously subjected their papers to standard peer review. We checked all comments received for open display for potential legal problems or inappropriate language, and in the event none was held back. All comments were required to be signed. Once the standard process was complete (that is, once all solicited referees' comments had been received), we also gathered the comments received on the server, and removed the paper."", http://www.nature.com/nature/peerreview/debate/nature05535.html)",1,1,0,1,1,0
"Faloutsos, Michalis; Rejaie, Reza; Banerjee, Anirban",2007,You must be joking ... A historic open reviewing at Global Internet '07,ACM SIGCOMM COMPUTER COMMUNICATION REVIEWÿÿVolume:ÿ37ÿÿÿIssue:ÿ3ÿÿÿPages:ÿ79-82ÿ,10.1145/1273445.1273457,Conference papers,Article,STEM,"""Global Internet 2007, chaired by Rejaie and Faloutsos, had an open review process: the names of the reviewers were revealed to the authors and, in addition, reviews of accepted papers are published in a website for anyone to see.""",,1,1,0,0,0,0
"Liu, Shi V.",2007,Why are people reluctant to join inÿopen review?,NATUREÿÿVolume:ÿ447ÿÿÿIssue:ÿ7148ÿÿÿPages:ÿ1052-1052,10.1038/4471052d,Journal articles,Letter,STEM,,OPR as in 2006 Nature experiment,1,1,0,1,1,0
[Anonymous],2007,Nature abandonsÿopen peer review,PSYCHOLOGISTÿÿVolume:ÿ20ÿÿÿIssue:ÿ3ÿÿÿPages:ÿ133-133,https://thepsychologist.bps.org.uk/volume-20/edition-3/news,Journal articles,Article,STEM,,OPR as in 2006 Nature experiment,1,1,0,1,1,0
"Jones, Alan Wayne",2007,"The distribution of forensic journals, reflections on authorship practices, peer-review and role of the impact factor",FORENSIC SCIENCE INTERNATIONALÿÿVolume:ÿ165ÿÿÿIssue:ÿ2-3ÿÿÿPages:ÿ115-128,10.1016/j.forsciint.2006.05.013,Not specified,Article,STEM,"""The so-called open-access journals, which are increasing in number, such as those produced by the Biomedical Central (BMC), e.g. BMC Clinical Pharmacology, post on the web the entire pre-publication history of the manuscripts accepted for publication. The date the manuscript was received, the reviewer reports and the names of the reviewers as well as the response from the authors and any rewrites of the manuscript are available on-line for all to read.""",,1,1,0,0,0,0
"Stamm, Thomas; Meyer, Ulrich; Wiesmann, Hans-Peter; et al.",2007,"A retrospective analysis of submissions, acceptance rate,ÿopen peer reviewÿoperations, and prepublication bias of the multidisciplinary open access journal Head & Face Medicine",Head & face medicineÿÿVolume:ÿ3ÿÿÿPages:ÿ27ÿ,10.1186/1746-160X-3-27,Journal articles,Article,STEM,,"As Head&Face ""Head & Face Medicine operates an open peer-review system, where the reviewers' names are included on the peer-review reports. In addition, if the article is published, the named reports are published online alongside the article as part of an 'Open Peer Review reports'.""",1,1,0,0,0,0
"Pharaon, Sadek",2007,Open peer review: a route to democracy,JOURNAL OF THE ROYAL SOCIETY OF MEDICINEÿÿVolume:ÿ100ÿÿÿIssue:ÿ1ÿÿÿPages:ÿ9-9ÿ,10.1258/jrsm.100.1.9-a,Journal articles,Article,STEM,,"As in Journal of the Royal Society of Medicine (2007) + Open Interaction ""Anybody submitting an article can discuss with the peer-reviewer any differences of opinion, without causing any bitter after-sentiments.""",1,0,1,0,0,0
"Morrison, Jill",2006,The case forÿopen peer review,MEDICAL EDUCATIONÿÿVolume:ÿ40ÿÿÿIssue:ÿ9ÿÿÿPages:ÿ830-831,10.1111/j.1365-2929.2006.02573.x,Not specified,Article,STEM,,"""unblinded, open peer review""",1,0,0,0,0,0
"Abbasi, Kamran",2006,JRSM introducesÿopen peer review,JOURNAL OF THE ROYAL SOCIETY OF MEDICINEÿÿVolume:ÿ99ÿÿÿIssue:ÿ8ÿÿÿPages:ÿ379-379,10.1258/jrsm.99.8.379,Not specified,Article,STEM,"""open peer review?where authors and reviewers know each others? identities?from this September onwards. It will become one of the world?s very few journals with an open peer review process. The reviewer?s comments will not yet be published though that is the logical next step.""",,1,0,0,0,0,0
"Richards, L",2006,Publishing - Nature trial nurturesÿopen peer review,CHEMISTRY & INDUSTRYÿÿIssue:ÿ12ÿÿÿPages:ÿ4-4,,Not specified,New item,STEM,,OPR as in 2006 Nature experiment,1,1,0,1,1,0
"Ross, JS; Gross, CP; Desai, MM; et al.",2006,Effect of blinded peer review on abstract acceptance,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATIONÿÿVolume:ÿ295ÿÿÿIssue:ÿ14ÿÿÿPages:ÿ1675-1680,10.1001/jama.295.14.1675,Conference papers,Article,STEM,"NOT OpenID - Mean Single-Blind RVW ""Abstract review included the author?s name and institution (open review) from 2000-2001"" -",,1,0,0,0,0,0
"Farthing, MJG",2006,Authors and publication practices,SCIENCE AND ENGINEERING ETHICSÿÿVolume:ÿ12ÿÿÿIssue:ÿ1ÿÿÿSpecial Issue:ÿSIÿÿÿPages:ÿ41-52,10.1007/PL00022267,Journal articles,Article,STEM,"""?open? peer review in which both the authors and the reviewers are known to each other.""",,1,0,0,0,0,0
"Kearney, MH; Freda, MC",2005,Nurse editors' views on the peer review process,RESEARCH IN NURSING & HEALTHÿÿVolume:ÿ28ÿÿÿIssue:ÿ6ÿÿÿPages:ÿ444-452,10.1002/nur.20104,Journal articles,Article,STEM,"""open review (both author and reviewer identities are known to each other)""","""The majority of nurse editors reported that blinding was important in peer review, tomaintain objectivity and avoid negative personal or professional consequences. The minority who saw potential benefits of open review valued increased transparency in the reviewing and editorial decision-making process."", ""one journal?s recent move toward open review still retain anonymity of both parties until after a decision is made (Dougherty, 2004).""",1,0,0,0,0,0
"Stamm, Thomas",2005,Head & Face Medicine - a new journal for 'intra-interdisciplinary' science. Why? When? Where?,Head & face medicineÿÿVolume:ÿ1ÿÿÿPages:ÿ1ÿ,10.1186/1746-160X-1-1,Journal articles,Article,STEM,,OPR as in BMC journal Head&Face,1,1,0,0,0,0
"Dougherty, MC",2004,Open peer reviewÿ- A first step,NURSING RESEARCHÿÿVolume:ÿ53ÿÿÿIssue:ÿ4ÿÿÿPages:ÿ213-213ÿ,10.1097/00006199-200407000-00001,Journal articles,Article,STEM,"""Open peer review, narrowly defined, means that the reviewer signs his or her review.""","""To begin the open review process, we selected manuscripts that received informative, constructive reviews (Beck in this issue; Choe and colleagues, forthcoming). The authors and reviewers gave permission for posting their reviews after the fact (a deviance from usual open peer review). Correspondence from the author and editor are posted also (see Open Manuscript Review highlighted on the home page at http://sonweb.unc.edu/nursing-research-editor).""",1,1,0,0,0,0
"Ludbrook, J",2003,Peer review of biomedical manuscripts: an update,JOURNAL OF CLINICAL NEUROSCIENCEÿÿVolume:ÿ10ÿÿÿIssue:ÿ5ÿÿÿPages:ÿ540-542,10.1016/S0967-5868(03)00091-2,Journal articles,Article,STEM,"""truly open peer review, in which the names of authors and their affiliations are revealed to reviewers, and the names of reviewers to authors""",,1,0,0,0,0,0
"Warr, WA",2003,Evaluation of an experimental chemistry preprint server,JOURNAL OF CHEMICAL INFORMATION AND COMPUTER SCIENCESÿÿVolume:ÿ43ÿÿÿIssue:ÿ2ÿÿÿPages:ÿ362-373,10.1021/ci025627a,Journal articles,Article,STEM,,"""In theory, preprints, together with version control and online discussion, could be a useful compromise: rapid prepublication followed by open peer review, before publication in a traditional journal.""",0,0,0,1,1,0
"Godlee, F",2002,"Making reviewers visible - Openness, accountability, and credit",JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATIONÿÿVolume:ÿ287ÿÿÿIssue:ÿ21ÿÿÿPages:ÿ2762-2765,10.1001/jama.287.21.2762,Not specified,Article,STEM,,"""There are strong arguments in favor of retaining reviewer anonymity.... To counter these concerns, I suggest 4 arguments in favor of open review""",1,0,0,0,0,0
"Melero, R; Lopez-Santovena, F",2001,Referees' attitudes towardÿopen peer reviewÿand electronic transmission of papers,FOOD SCIENCE AND TECHNOLOGY INTERNATIONALÿÿVolume:ÿ7ÿÿÿIssue:ÿ6ÿÿÿPages:ÿ521-527,,Not specified,Article,SSH,"""The peer review system is opened when the authors know the reviewers and vice versa""",,1,0,0,0,0,0
"Lee, M; Om, K; Koh, J",2000,The bias of sighted reviewers in research proposal evaluation: A comparative analysis of blind andopen reviewÿin Korea,SCIENTOMETRICSÿÿVolume:ÿ48ÿÿÿIssue:ÿ1ÿÿÿPages:ÿ99-116,10.1023/A:1005636503358,Grant proposals,Article,Interdisciplinary,,"discusses blinded vs ""sighted review""",1,0,0,0,0,0
"Walsh, E; Rooney, M; Appleby, L; et al.",2000,Open peer review: a randomised controlled trial,BRITISH JOURNAL OF PSYCHIATRYÿÿVolume:ÿ176ÿÿÿPages:ÿ47-51,10.1192/bjp.176.1.47,Journal articles,Article,STEM,,"""For an open system to be practical, reviewers would have to be in favour of signing, and the quality of reviews produced ought not to be of inferior quality.""",1,0,0,0,0,0
Nature Neuroscience,1999,Pros and cons ofÿopen peer review,NATURE NEUROSCIENCEÿÿVolume:ÿ2ÿÿÿIssue:ÿ3ÿÿÿPages:ÿ197-198,,Journal articles,Article,STEM,,"""Anonymous peer review, despite the criticisms often leveled against it, is used in more or less the same form by the great majority of scientific journals. The British Medical Journal (BMJ), however, has recently taken the bold step of abolishing referee anonymity, and now requires all referees to identify themselves to the authors. The editor, Richard Smith, justifies this move primarily on ethical grounds, arguing1 that ?a court with an unidentified judge makes us think immediately of totalitarian states and the world of Franz Kafka?. Many other journals, including Nature Neuroscience, will await the results of this experiment with interest. Yet, whatever the results, there are a number of reasons to think that open review may not be the best solution for all journals.""",1,0,0,0,0,0
"van Rooyen, S; Godlee, F; Evans, S; et al.",1999,Effect ofÿopen peer reviewÿon quality of reviews and on reviewers' recommendations: a randomised trial,BRITISH MEDICAL JOURNALÿÿVolume:ÿ318ÿÿÿIssue:ÿ7175ÿÿÿPages:ÿ23-27,http://dx.doi.org/10.1136/bmj.318.7175.23,Journal articles,Article,STEM,"""asking reviewers to have their identity revealed to the authors of the paper""",,1,0,0,0,0,0
"Bingham, CM; Higgins, G; Coleman, R; et al.",1998,The Medical Journal of Australia Internet peer-review study,LANCETÿÿVolume:ÿ352ÿÿÿIssue:ÿ9126ÿÿÿPages:ÿ441-445,10.1016/S0140-6736(97)11510-0,Journal articles,Article,STEM,"""Research and review articles that had been accepted for publication in The Medical Journal of Australia (MJA) were published together with the reviewers? reports on the worldwide web, with the consent of authors and referees. Selected readers? e-mailed comments were electronically published as additional commentary; authors could reply or revise their paper in response to readers? comments. Articles were edited and published in print after this open review.""",,1,1,1,1,1,0
"Lightfoot, JT",1998,A different method of teaching peer review systems,ADVANCES IN PHYSIOLOGY EDUCATIONÿÿVolume:ÿ19ÿÿÿIssue:ÿ1ÿÿÿPages:ÿS57-S61ÿ,http://www.ncbi.nlm.nih.gov/pubmed/9841565,Journal articles,Article,SSH,"""In the open system, the author knows the identity of the reviewer and the reviewer knows the identity of the author.""",,1,0,0,0,0,0
"JUSTESEN, DR",1995,AN EXERCISE INÿOPEN PEER-REVIEW,BIOELECTROMAGNETICSÿÿVolume:ÿ16ÿÿÿIssue:ÿ1ÿÿÿPages:ÿ1-1,10.1002/bem.2250160102,Journal articles,Article,STEM,"The model of open peer review that was chosen for this exercise is that of the late Paul Arthur Schilpp of Northwestern University. Examples of the model are sizable tomes edited by Schilpp j1944, 19491. In these works a summing-up of theoretical/philosophical reflections by Albert Einstein and Bertrand Russell were thoroughly vetted by some of their peers. These commentaries were commented on in turn by the featured author. There is a downside to open peer review. It is extremely time consuming. An author must be recruited whose works have garnered editorial interest and acclaim. He or she must then be willing to submit a paper for an initial anonymous peer review. If the review is favorable, the author must submit the opus to scrutiny by a team of ?open? reviewers. The ensuing critiques may themselves require outside review. Finally, the author composes replies to reviewers.",,1,1,1,1,0,0
"BORNSTEIN, RF",1993,COSTS AND BENEFITS OF REVIEWER ANONYMITY - A SURVEY OF JOURNAL EDITORS AND MANUSCRIPT REVIEWERS,JOURNAL OF SOCIAL BEHAVIOR AND PERSONALITYÿÿVolume:ÿ8ÿÿÿIssue:ÿ3ÿÿÿPages:ÿ355-370,,Journal articles,Article,SSH,"""a system wherein reviewers' identities are routinely revealed to authors of submitted manuscripts (i.e., an ""open review"" system)",,1,0,0,0,0,0
"ARMSTRONG, JS; LUSK, EJ",1983,THE ACCURACY OF ALTERNATIVE EXTRAPOLATION MODELS - ANALYSIS OF A FORECASTING COMPETITION THROUGHÿOPEN PEER-REVIEW,JOURNAL OF FORECASTINGÿÿVolume:ÿ2ÿÿÿIssue:ÿ3ÿÿÿPages:ÿ259-,,Journal articles,Article,SSH,"In 1982, the Journal of Forecasting published the results of a forecasting competition organized by Spyros Makridakis (Makridakis era/,. 1982)?. In the belief that this study was of major importance, we decided to obtain a more complete discussion of the results. We do not believe that 'the data speak for themselves'?. In seeking peer review of the Makridakis competition, we drew heavily upon the procedures used by Behatioral and Brain Sciences, a journal that has been one of the pioneers for open peer review (Harnad. 1979), One objective was to provide a forum for discussion by experts who were likely to have different perspectives. We invited 14 outside experts to write commentaries on the Makridakis competition. Of these, eight agreed and seven completed their papers. The commentators are all from different organizations. Three are practitioners and four are academicians. We asked these commentators to address any aspect of the original paper. They were given approximately five months to write their commentary. We reviewed each commentary and made suggestions for change (sometimes with more than one round of revisions). Later, the commentators were provided with papers by the other commentators and were given a further opportunity for revisions. Finally, the commentators and authors were provided with edited versions of all papers and were given an opportunity to clarify their own papers and to suggest clarifications in other papers. A second objective was to obtain the viewpoints of the original authors speaking freely without any need for agreement from their co-authors. We also sent the commentaries to each of the nine original authors. We received replies from seven of the nine authors.",,1,1,1,1,1,0
"Jubb, M.",2016,Peer review: The current landscape and future trends,"Learned Publishing, 29, 1",10.1002/leap.1008,Journal articles,Article,Interdisciplinary,"?Open review, where both authors? and reviewers? names are revealed.? (Jubb 2016, 16)",,1,0,0,0,0,0
"Larson, Bradley P., and Kevin C. Chung",2012,A Systematic Review of Peer Review for Scientific Manuscripts,HAND 7 (1) 37?44,10.1007/s11552-012-9392-6,Journal articles,Article,STEM,"?A few of the papers discussed the benefits and downsides to open peer review. Open peer review can encourage reviewers to be more complete and constructive when their identity is not obscured [10]. Under an open peer-review system, referees are able to receive acknowledgment by authors instead of remaining anonymous [13]. As with single-blinded reviews, open peer review makes the author?s identity known to the reviewer. This has the potential to expose an author to biases regarding their previous work, nationality, or gender [28, 46]. However, conflicting studies argue that open review does not bring any real advantages and requires further evaluation [13, 19].?(Larson and Chung 2012, 42)",,1,0,0,0,0,0
"Pontille, David, and Didier Torny",2015,From Manuscript Evaluation to Article Valuation: The Changing Technologies of Journal Peer Review,Human Studies 38 (1): 57?79,10.1007/s10746-014-9335-z,Journal articles,Article,SSH,,"""Developed as an alternative to the single blind as from the early 1980s, ??open review?? was for a long time limited to just a few journals which encouraged or required their reviewers to sign their reports (Knox 1981).""",1,0,0,0,0,0
"Ware, Mark",2008,"Peer Review: Benefits, Perceptions and Alternatives (Publishing Research Consortium Summary Paper 4)",,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.214.9676&rep=rep1&type=pdf,Journal articles,Community report,Interdisciplinary,"""A newer approach to dealing with the criticisms of single-blind review is open peer review: in this model, the author?s and reviewers? identities are known to each other, and the reviewers? names and (optionally) their reports are published alongside the paper. Advocates of open review see it as much fairer because, they argue, somebody making an important judgement on the work of others should not do so in secret. It is also argued that reviewers will produce better work and avoid offhand, careless or rude comments when their identity is known.? (Ware 2008, 6)",,1,0,0,0,0,0
"Birukou, Aliaksandr et al",2011,Alternatives to Peer Review: Novel Approaches for Research Evaluation,Frontiers in Computational Neuroscience 5 (December),10.3389/fncom.2011.00056,Journal articles,Article,STEM,?open peer review where both authors and reviewers are aware of each other?s identity? (Birukou et al. 2011),,1,0,0,0,0,0
"Mulligan, Adrian, Louise Hall, and Ellen Raphael",2013,Peer Review in a Changing World: An International Study Measuring the Attitudes of Researchers,Journal of the American Society for Information Science and Technology 64 (1): 132?61,10.1002/asi.22798,Journal articles,Article,Interdisciplinary,"?Open peer review, in which both the reviewer and the author are known to one another, increases transparency and encourages honest open responses.?(Mulligan, Hall, and Raphael 2013, 133)",,1,0,0,0,0,0
Research Information Network,2010,Peer Review: A Guide for Researchers,,http://www.rin.ac.uk/system/files/attachments/Peer-review-guide-screen.pdf,Journal articles,Community report,Interdisciplinary,"""Open review: this term is used to cover at least three different kinds of arrangement with increasing levels of transparency:
 ? the identities of reviewers and submitters are revealed to each other
 ? the signed reviews themselves are passed in full to the applicants, and
 ? authors? draft publications are made available on websites and reviews and comments are invited from anyone who wishes to do so""",,1,1,0,1,1,0
Sense About Science,2012,Peer Review: The Nuts and Bolts: A Guide for Early Career Researchers (Standing up for Science 3),,http://www.senseaboutscience.org/data/files/resources/99/Peer-review_The-nuts-and-bolts.pdf,Journal articles,Community report,Interdisciplinary,"""OPEN REVIEW: At its most basic, reviewers know who the authors are and the authors know who the reviewers are. It can also mean inclusion of the reviewers? names and/or reports alongside the published paper, comments from others [subject community or wider public] at pre-publication stage, or various combinations of these.""",,1,1,0,1,1,0
"Tennant, J and Mounce, R",2015,Open Research Glossary,,10.6084/m9.figshare.1482094.v1,Journal articles,Glossary,Interdisciplinary,"?Open review - when reviews are made openly available, typically alongside the article.? / ?Signed peer review - when the individual reviews are publicly signed by those who conducted them.? (Tennant and Mounce 2015)",,0,1,0,0,0,0
"Sumner, Tamara and Buckingham Shum, Tamara",1996,Open Peer Review & Argumentation: Loosening the Paper Chains on Journals,"Ariadne, Issue 5",http://www.ariadne.ac.uk/issue5/jime,Journal articles,Article,Interdisciplinary,"""The article under review and the reviewers' initial comments are then published on the Web, and the review process moves into a phase of open peer review, in which authors, reviewers and readers can engage in debate.""",,0,0,1,0,1,0
"Armstrong, J. Scott",1997,"Peer Review for Journals: Evidence on Quality Control, Fairness, and Innovation",Science and Engineering Ethics 3 (1): 63?84,doi:10.1007/s11948-997-0017-3.,Journal articles,Article,Interdisciplinary,,"?publish controversial papers along with comments by reviewers? (Armstrong 1997, 75)",0,1,0,0,0,0
"Ware, Mark",2009,Current Peer Review Practice and Perceptions: The View from the Field,"Against the Grain 21, no. 3",doi:10.7771/2380-176X.2307,Journal articles,Article,Interdisciplinary,"?A newer approach to dealing with bias is open peer review, in which author?s and reviewer?s names are known to each other, and the reviewer?s name (and optionally, their report) is published alongside the article.? (Ware 2009, 20)",,1,1,0,0,0,0
"Shatz, David",1996,Is Peer Review Overrated?,The Monist 79 (4): 536?63,,Journal articles,Article,SSH,"?Open peer review is review by the scholarly community at large, instead of a few anonymous referees along with an editor or board.? (Shatz 1996, 538)",,0,0,0,1,0,0
"Nentwich, Michael",2005,Quality Control in Academic Publishing: Challenges in the Age of Cyberscience,Poiesis & Praxis 3 (3): 181?98,doi:10.1007/s10202-004-0071-8,Journal articles,Article,SSH,"?Open peer review/commentary While traditionally, the research community at large only finds out about the submission once it is printed, open forms of reviewing in e-journals announce that a paper has been submitted. The submission is uploaded to the journal?s server and everyone can have a look at it. In the case of revisions (along the path from the original submission to the final published text) the interim steps are also visible. In addition, the editor does not select referees, but opens a general, open debate about the manuscript. Self-appointed referees (Sumner and Shum 1997) comment on the merits of the paper online. In general, both the author?s and the public referees? identities are not disguised. While there are good arguments in favour of anonymity, the primary argument against it is that it seems wrong for somebody to make an important judgement on the work of others in secret (Smith 1999). Although, in principle, the technology allows for anonymity, it is not implemented because it would not suit well the otherwise open character of the procedure. The philosophy behind open peer review is basically that it is expected that the more people participate in the review process, the better the result. An open, non-anonymous procedure would be more ??democratic??, less determined by a single editor or a small board. In addition, the author is not only at the receiving end of a decision already taken, but in a position to participate in the review process through interactive means. While reviewing in the traditional model is a solitary activity, the open communicative process may lead to a discourse in which the ideas are refined and shaped.? (Nentwich 2005, 183)",,1,1,1,1,1,0
"Shaffer, Kris P",2014,A Proposal for Open Peer Review,"Music Theory Online 20, no. 1 (February 1, 2014)",http://mtosmt.org/issues/mto.14.20.1/mto.14.20.1.shaffer.html,Journal articles,Article,SSH,"?While multiple practices exist that can be considered manifestations of open peer review, open peer review in its fullest sense takes the scholarly discussion that traditionally follows publication ? and moves it pre-publication, rendering them part of the review process. Open peer review ensures high visibility for the best work, extensive vetting by the scholarly community pre-publication, and a timely publication process, all the while maintaining high standards for peer-reviewed publication.... Since this open peer-review model would be based around pre-published material on the web, it would generally lead to shorter publications than traditional publishing. Articles that work well for open peer review tend to be shorter, much more targeted, and have a much shorter bibliography than traditional articles, even when they represent the same level of research quality. Lastly, just as authors would need to be more comfortable sharing ideas that may not be camera-ready, reviewers need to be more comfortable sharing their comments, including critical ones, on the open web for such a project to work. Blind peer review protects reviewers as much as authors. Open peer review may be a non-starter for those used to providing their comments anonymously.? (Shaffer 2014, 1)",,1,1,1,1,1,0
"Hames, Irene",2014,The Changing Face of Peer Review,Science Editing 1 (1): 9?12,doi:10.6087/kcse.2014.1.9,Journal articles,Article,Interdisciplinary,"??Open? peer review, which originally meant just the author knowing who the reviewer was, can now cover a number of things, e.g., the reviewers? names being disclosed with the published article, reviewer reports being published (with or without names), the wider community being able to comment during review, and various combinations of these.? (Hames 2014, 10)",,1,1,0,1,1,0
"Fitzpatrick, Kathleen, and Avi Santo",2016,Open Review: A Study of Contexts and Practices (The Andrew W. Mellon Foundation White Paper),,https://mellon.org/media/filer_public/20/ff/20ff03e0-17b0-465b-ae82-1ed7c8cef362/mediacommons-open-review-white-paper-final.pdf,Not specified,,Interdisciplinary,"?Openness: As previously stated, openness can take several forms. Options include public access to and participation in the review process; removing the anonymity amongst authors and reviewers; establishing a means of greater back-and-forth between authors and reviewers and amongst reviewers. Each option presents benefits and challenges. For example, making the review process public can help render scholarly processes transparent, but may also blur distinctions between peer groups, as individuals with varying degrees and forms of expertise become parªticipants. Of course, the latter is only a ?downside? if this is not a desired outcome of openness. Ultimately, open review communities must determine the types and degrees of openness they will pursue in relation to the desired outcomes of the peer review process. Broadly, decisions about openness encompass: the choice between anonymity, pseudonymity, and transparency in representing reviewer and author identities; the choice to open up the review process to public viewing and/or participation; and the choice to allow and encourage reciprocity between authors and reviewers, as well as amongst reviewers.? (Fitzpatrick and Santo 2016, 18)",,1,1,1,1,1,0
"Shotton, David",2012,The Five Stars of Online Journal Articles - a Framework for Article Evaluation,"D-Lib Magazine 18, no. 1/2 (January 2012)",10.1045/january2012-shotton,Journal articles,Article,Interdisciplinary,"""The whole review process is entirely transparent. Each submitted manuscript is immediately made available on the journal's website. Reviews and comments from readers are welcomed, and are considered alongside the formal peer reviews solicited from experts by the journal. All the reviews, the author's responses, and the original and final versions of the article are published, and the appointed reviewers and editors are acknowledged by name in the final version. BMJ Open practices such open peer review, and the Semantic Web Journal strongly encourages it, while allowing reviewers the option of remaining anonymous.""",,1,1,0,1,1,0
